Section,Sub Section,Index Name,Column Name,Currency,Unit,Source URL,Active,Discovered At,Review Status
,,Aluminum Premium CIF Thailand SMM-AL-AL-012 USD/tonne -8 24/04/2026,Aluminum Premium CIF Thailand SMM-AL-AL-012 USD/tonne -8 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium CIF Thailand SMM-AL-AL-012,Aluminum Premium CIF Thailand SMM-AL-AL-012 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Premium CIF Thailand,Aluminum Premium CIF Thailand (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Low-Carbon P1020A SMM-AL-AL-013 USD/tonne 0 24/04/2026,Aluminum Low-Carbon P1020A SMM-AL-AL-013 USD/tonne 0 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Low-Carbon P1020A SMM-AL-AL-013,Aluminum Low-Carbon P1020A SMM-AL-AL-013 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Low-Carbon P1020A,Aluminum Low-Carbon P1020A (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Low-Carbon P1020A Premium Index SMM-AL-AL-014 USD/tonne 0 24/04/2026,Aluminum Low-Carbon P1020A Premium Index SMM-AL-AL-014 USD/tonne 0 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Low-Carbon P1020A Premium Index SMM-AL-AL-014,Aluminum Low-Carbon P1020A Premium Index SMM-AL-AL-014 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,Aluminum Low-Carbon P1020A Premium Index,Aluminum Low-Carbon P1020A Premium Index (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM A00 Aluminum Ingot Premium SMM-AL-AL-002 USD/tonne +1.3 24/04/2026,SMM A00 Aluminum Ingot Premium SMM-AL-AL-002 USD/tonne +1.3 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM A00 Aluminum Ingot Premium SMM-AL-AL-002,SMM A00 Aluminum Ingot Premium SMM-AL-AL-002 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM A00 Aluminum Ingot Premium,SMM A00 Aluminum Ingot Premium (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Henan A00 Aluminum Ingot SMM-AL-AL-003 USD/tonne -3.39 24/04/2026,SMM Henan A00 Aluminum Ingot SMM-AL-AL-003 USD/tonne -3.39 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Henan A00 Aluminum Ingot SMM-AL-AL-003,SMM Henan A00 Aluminum Ingot SMM-AL-AL-003 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Henan A00 Aluminum Ingot,SMM Henan A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Foshan A00 Aluminum Ingot SMM-AL-AL-005 USD/tonne -7.25 24/04/2026,SMM Foshan A00 Aluminum Ingot SMM-AL-AL-005 USD/tonne -7.25 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Foshan A00 Aluminum Ingot SMM-AL-AL-005,SMM Foshan A00 Aluminum Ingot SMM-AL-AL-005 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Foshan A00 Aluminum Ingot,SMM Foshan A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Guangyuan A00 Aluminum Ingot SMM-AL-AL-019 USD/tonne -4.68 24/04/2026,SMM Guangyuan A00 Aluminum Ingot SMM-AL-AL-019 USD/tonne -4.68 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Guangyuan A00 Aluminum Ingot SMM-AL-AL-019,SMM Guangyuan A00 Aluminum Ingot SMM-AL-AL-019 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Guangyuan A00 Aluminum Ingot,SMM Guangyuan A00 Aluminum Ingot (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Henan A00 Aluminum Ingot Premium SMM-AL-AL-004 USD/tonne +3.89 24/04/2026,SMM Henan A00 Aluminum Ingot Premium SMM-AL-AL-004 USD/tonne +3.89 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Henan A00 Aluminum Ingot Premium SMM-AL-AL-004,SMM Henan A00 Aluminum Ingot Premium SMM-AL-AL-004 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Henan A00 Aluminum Ingot Premium,SMM Henan A00 Aluminum Ingot Premium (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
,,SMM Foshan A00 Aluminum Ingot Premium SMM-AL-AL-006 USD/tonne +0.03 24/04/2026,SMM Foshan A00 Aluminum Ingot Premium SMM-AL-AL-006 USD/tonne +0.03 24/04/2026 (USD/t),USD,t,https://www.metal.com/Aluminum?currency_type=2,TRUE,2026-04-25 16:41:24,Pending
